English,Hindi
Rotating disk,"घूर्णी मंडल, घूर्णी डिस्क"
Rotating disk contactor,घूर्णी चक्रिक संपर्कक
Rotating electrode,घूर्णी इलेक्ट्रोड
Rotating field,घूर्णी क्षेत्र
Rotating field aerial (=rotating field antenna),घूर्णी क्षेत्र ऐन्टेना
Rotating growth step,सर्पिल प्ररोहण पग
Rotating joint,घूर्णी संधि
Rotating loop antenna,घूर्णी पाश ऐन्टेना
Rotating maching,घूर्णी यंत्र
Rotating magnet separator,घूर्णी-चुंबक पृथक्कर
Rotating prism camera,घूर्णी प्रिज़्म कैमरा
Rotating radio beacon,घूर्णी रेडियो बीकन
Rotating sector,घूर्णी त्रिज्यखण्ड
Rotating sector photometer,घूर्णी त्रिज्यमुखी प्रकाशमापी
Rotating sector technique,घूर्णी त्रिज्यखंड तकनीक
Rotating shaft,घूर्णी शैफ्ट
Rotating shell,घूर्णी कोष
Rotating step mechanism,सर्पिल पग क्रियाविधि
Rotation,"घूर्णन, आवर्तन"
Rotation axis,घूर्णन अक्ष
Rotation constant,घूर्णनांक
Rotation decreasing effect,घूर्णन ह्रास प्रभाव
Rotation element,घूर्न तत्व
Rotation of coordinate system,निर्देशांक निकाय का घूर्णन
Rotation oscillation method,घूर्णी दोलन पद्धति
Rotation spectrum,घूर्णन स्पेक्ट्रम
Rotation therapy,घूर्णन चिकित्सा
Rotation vibration spectra,घूर्णन-कंपन स्पेक्ट्रम
Rotation-inversion axis,घूर्णन-व्युत्क्रमण अक्ष
Rotation-reflection axis,घूर्णन-परावर्तन अक्ष
Rotation-vibration spectrum,घूर्णन कंपन स्पेक्ट्रम
Rotational,"घूर्णी, घूर्णात्मक, घूर्णनी"
Rotational Alfven-wave,घूर्णनीय ऐल्फ़वेन-तरंग
Rotational broadening,घूर्णनात्मक पृथुलन
Rotational Brownian movement,घूर्णी ब्राउनीय गति
Rotational dislocation,सर्पिल प्रभ्रंश
Rotational distortion,घूर्न विरूपण
Rotational element,घूर्णी तत्व
Rotational energy,घूर्णन-ऊर्जा
Rotational fine structure,घूर्णनात्मक सूक्ष्म संरचना
Rotational inertia,जड़त्व आघूर्ण
Rotational isomer,चक्रण समावयवी
Rotational isotope-effect,घूर्णन समस्थानिक प्रभाव
Rotational level,घूर्णन-स्तर
Rotational line,घूर्णी रेखा
Rotational magnetic moment,घूर्णनी चुंबकीय आघूर्ण
Rotational model,घूर्णी मॉडल
Rotational motion,घूर्णी गति
Rotational multiplicity,घूर्णनात्मक बहुकता
Rotational partition function,घूर्णनी संवितरण फलन
Rotational perturbation,घूर्णन विक्षोभ
Rotational quantum number,घूर्णन क्वान्टम संख्या
Rotational specific heat,घूर्णनी विशिष्ट ऊष्मा
Rotational spectrum,घूर्णन स्पेक्ट्रम
Rotational state (level),घूर्णन-अवस्था (तल)
Rotational statistical weight,घूर्णनी सांख्यिकीय भार
Rotational symmetry,घूर्णनी सममिति
Rotational temperature,घूर्णनी ताप
Rotational term series,घूर्णन पद श्रेणी
Rotational velocity,घूर्णन वेग
Rotationally symmetrical flow,घूर्णतः सममित प्रवाह
Rotationless state,घूर्णनहीन अवस्था
Rotator,"घूर्णी, रोटेटर"
Rotatory,"घूर्णनी, घूर्णी"
Rotatory current,परिभ्रामी धारा
Rotatory dispersion,ध्रुवण घूर्णनी वर्णविक्षेपण
Rotatory power,ध्रुवण घूर्णन क्षमता
Rotatory pump,घूर्णी पम्प
Roti (recording optical tracking instrument),प्रकाशीय स्थिति अभिलेखक
Rotochute,रोटोशूट
Roton,"रोटॉन, घूर्ण ऊर्जा क्वांटन"
Rotor,"रोटर, घूर्णक"
Rotor armature,रोटर आर्मेचर
Rotor field,रोटर क्षेत्र
Rotor process,रोटर प्रक्रम
Rotor speed,घूर्णक चाल
Rouche's theorem,रूशे प्रमेय
Rough,"रूक्ष, स्थूल"
Rough bearing,स्थूल दिग्मान
Rough turning,रूक्ष चक्रण
Round,"वर्तुल, गोल"
Round trip time,गमनागमन काल
Rounding error,निकटन त्रुटि
Rounding off,"निकटन, निष्कोणन"
Route,मार्ग
Route foci,मार्ग केन्द्र
Route-chart,"मार्ग-चार्ट, रूट-चार्ट"
Routine,"नित्यक्रम, नेमका"
Routine test,नेमका परीक्षण
Routing,"अनुमार्गण, मार्गनिर्धारण"
Rovibronic level,"घूर्णकंपट्रानीय स्तर, रोवाइब्रानिक स्तर"
Rovibronic transition,"घूर्णकंपट्रानीय संक्रमण, रोवाइब्रानिक संक्रमण"
Row,पंक्ति
Row rank,पंक्ति कोटि
Rowland grating,राउलैन्ड ग्रेटिंग
Rowland mounting,राउलैन्ड आरोपण
Rowland ring,राउलैन्ड वलय
Rowlend circle,राउलैन्ड वृत्त
Rrectified current,दिष्टकृत धारा
Rreverse impedance,व्युत्क्रम प्रतिबाधा
Rreversible chemical reaction,उत्क्रमणीय रासायनिक अभिक्रिया
Ruby,"पदमराग, माणिक्य, लाल, याकूत"
Ruby laser,"रूबी लेसर, मणिक्य लेसर"
Ruby red,माणिक्य रक्त
Rudder,"रडर, दिक् नियन्त्रक"
Ruddevators,कर्णोत्थापक
Rug,रग
Rug practice jammer,रग अभ्यासी संबाधक
Ruggedization,सुदृढ़ीकरण
Rule,नियम
Ruled grating,रेखांकित ग्रेटिंग
Ruled grating spectrometer,रेखांकित ग्रेटिंग स्पेक्ट्रममापी
Ruled surface,रेखज पृष्ठ
Ruling,"रेखांकन, रेखाएँ"
Ruling engine,रेखांकन यंत्र
Rumpf (of atom ) (=corre of atom),"परमाणु क्रोड, रम्फ़"
Run,"धाव, परम्परा"
Runge denominator,रून्गे-हर
Runge-Kutta method,रून्गे कुटटा विधि
Runge's law,रून्गे नियम
Running board antenna,पाद पटल ऐन्टेना
Running term,धावी पद
Running time meter,कार्यावधि कार्यरत कालमापी
Running value,धावी मान
Rupture,"संविदार, संविदारण, फटना"
Rupture line,संविदारण-रेखा
Rupture load,संविदारण-उद्भार
Rupture mechanism,संविदारण-उद्भार
Russell Saunders coupling,रसेल-सॉन्डर्स युग्मन
Rutherford (unit),रदरफ़र्ड
Rutherford and Geiger apparatus,रदरफ़र्ड गाइगर उपकरण
Rutherford nuclear atom,रदरफर्ड नाभिकीय परमाणु
Rutherford scattering,रदरफ़र्ड प्रकीर्णन
Rydberg (unit of energy),रिडबर्ग
Rydberg constant,रिडबर्ग नियतांक
Rydberg correction,रिडबर्ग संशोधन
Rydberg number,रिडबर्ग संख्या
Rydberg orbital,रिडबर्ग कक्षक
Rydberg series formula,रिडबर्ग श्रेणी सूत्र
S-band,S-बैंड
S-band air borne beacon,S-बैंड वायुवाहित बीकन
S-distortion,S-विरूपण
S-event (decay at rest),S- (विरामी क्षय) घटना
S-value,S- मान
S-wave,S-तरंग
S-wave resonance,S-तरंग अनुनाद
Sabin,सेबिन
Sabine equation,सेबाइन समीकरण
Sabine reverberation time,सेबाइन अनुरणन काल
Saccharide,सैकैराइड
Sack paper,थैला कागज
Sackur tetride equation,जाकर टेट्रोड समीकरण
SAD computer,अभिकलित्र (एकल पता दशमिक अभिकलित्र)
Saddle point,पल्याण बिन्दु
Saecific activity,विशिष्ट सक्रियता
Safe load,निरापद लोड
Safe-time,सुरक्षा काल
Safety,"निरापद, सुरक्षा"
Safety and arming mechanism,सुरक्षा तथा सज्जा क्रिया विधि
Safety bar,निरापद शलाका
Safety circuit,सुरक्षा परिपथ
Safety factor,सुरक्षा-गुणक
Safety fuel,निरापद ईधन
Safety fuse (=Bickford fuse),"सुरक्षा फ्यूज, बिकफोर्ड फ्यूज"
Safety glass,सुरक्षा काच
Safety ink,निरापद मसी
Safety joint,निरापद संधि
Safety lamp,"निरापद दीप, निरापद लैम्प"
Safety match,निरापद दियासलाई
Safety member,सुरक्षा अवयव
Safety plug,"सुरक्षा प्लग, सुरक्षा डाट"
Safety rod,सुरक्षा छड़
Safety valve,सुरक्षा वाल्व
Sage,सेज
Sagitta method,सैजिटा विधि
Sagittal rays,सैजिटीय किरणें
Saha's ionisation formula,साहा-आयनन-सूत्र
Saint,"सेंट, उपग्रह निरीक्षक तंत्र"
Salient pole,क्षेत्र कुंडली ध्रुव
Salt,"लवण, नमक"
Saltpetre,शोरा
Salvo fire,अस्त्र फायर
Samarium,समेरियम
Same phase,समान कला
Same sense,समान दिशा
Sample,"प्रतिदर्शी, नमूना"
Sample approximation,प्रतिदर्श सन्निकटन
Sample collection,प्रतिदर्श संग्रह
Sample correlation coefficient,प्रतिदर्श सहसंबंध गुणांक
Sample design,प्रतिदर्श अभिकल्पना
Sample distribution,प्रतिदर्श बंटन
Sample path,प्रतिदर्श पथ
Sample point,प्रतिदर्श बिंदु
Sample quality,प्रतिदर्श गुणता
Sample standard deviation,प्रतिदर्श-मान-विचलन
Sample survey,प्रतिदर्श सर्वेक्षण
Sample tube,प्रतिदर्श नली
Sample variance,प्रतिदर्श प्रसरण
Sample verification,प्रतिदर्शी जाँच
Sampling,"प्रतिदर्शी (वि, ), प्रतिचयन (सं, )"
Sampling acceptance plan,प्रतिचयन स्वीकरण आयोजना
Sampling acceptance procedure,प्रतिचयन की स्वीकरण क्रियाविधि
Sampling circuit,प्रतिचयन परिपथ
Sampling distribution,प्रतिदर्शी बंटन
Sampling error,प्रतिचयन-त्रुटि
Sampling fluctuations,प्रतिचयन उच्चावचन
Sampling fraction,प्रतिचयनानुपात
Sampling gate,प्रतिचयन द्वार
Sampling inspection,प्रतिदर्शी निरीक्षण
Sampling interval,प्रतिचयन अंतराल
Sampling method,प्रतिचयन विधि
Sampling moment,प्रतिचयन आघूर्ण
Sampling multiplier (=averaging multiplier),औसतकारी गुणक
Sampling number,प्रतिचयन संख्या
Sampling observation,प्रतिचयन प्रेक्षण
Sampling oscilloscope,प्रतिचयन दोलनदर्शी
Sampling probability,प्रतिचयन-प्रायिकता
Sampling pulse generator,प्रतिचयन स्पंद जनित्र
Sampling ratio,प्रतिजयन अनुपात
Sampling routine,प्रतिचयन नित्यक्रम
Sampling tube,प्रतिदर्शी नली
Sampling unit,प्रतिचयन एकक
Samsonite,सैम्सोनाइट
Sanaphant,सैनाफेन्ट
Sanatron,सैनाट्रॉन
Sanborn,सैनबार्न
Sanborn maps,सैनबार्न प्रतिचित्र
Sandwich,सैंडविच
Sandwich complex,सैन्डविच संकुल
Sandwich molecule,"सैंडविच अणु, अंतर्दाबित अणु"
Sandwich strcture,सैन्डविच संरचना
Sandwiching,अंतर्दाबन
Saponification,साबुनीकरण
Saponification number,साबुनीकरण संख्या
Sarah,सैराह
Sard's theorem,सार्ड प्रमेय
Sargent curve,सार्जेन्ट वक्र
Sargent cycle,सार्जेन्ट चक्र
Sargent diagram,सार्जेन्ट आरेख
Satellite,"उपग्रह, अनुषंगी, अनुगामी, सैटेलाइट"
Satellite (of spectrl line),उपरेखा
Satellite antenna,उपग्रह ऐन्टेना
Satellite brand,अनुषंगी शाखा
Satellite broadening,"अनुगामी विस्तरण, अनुगामी पृथुलन"
Satellite elements,उपग्रह घटन
Satellite line,अनुषंगी रेखा
Satellite magnetometer,अनुषंगी चुंबकत्वमापी
Satellite motion,उपग्रह गति
Satellite period,उपग्रह आवर्त काल
Satellite photogrammetry,उपग्रह फोटोचित्रमिति
Satellite pulse,अनुषंगी स्पंद
Satellite tracking,उपग्रह अनुवर्तन
Satellite transmitter,उपग्रह प्रेषित्र
Satellitic reflection,अनुषंगी परावर्तन
Satelloid,अल्प शक्ति उपग्रह
Saturable reactor,संतृप्य रिऐक्टर
Saturable transformer,संतृप्य ट्रांसफार्मर
Saturate,संतृप्त करना
Saturated,संतृप्त
Saturated activity,संतृप्त सक्रियता
Saturated air,संतप्त वायु
Saturated colour,"संतृप्त वर्ण, संतृप्त रंग"
Saturated diode,संतृप्त डायोड
Saturated lilquid,संतृप्त द्रव
Saturated molecule,संतृप्त अणु
Saturated vapour,संतृप्त वाष्प
Saturating signal,संतर्पक संकेत
Saturation,"संतृप्ति, संतृप्तिकरण"
Saturation current,संतृपित धारा
Saturation curve,संतृप्ति वक्र
Saturation flux density,संतृप्ति अभिवाह घनत्व
Saturation induction,संतृप्ति प्रेरण
Saturation level,संतृप्ति तल
Saturation line,संतृप्ति रेखा
Saturation magnetization,संतृप्ति-चुंबकन
Saturation magnetostriction,संतृप्ति सुंबकीय विरूपण
Saturation point,संतृप्ति स्थिति
Saturation resistance,संतृप्ति प्रतिरोध
Saturation scale,संतृप्ति मापक्रम
Saturation spectorscopy,संतृप्ति  स्पेक्ट्रॉस्कोपी
Saturation strain,संतृप्ति विकृति
Saturation time factor,संतृप्ति काल गुणांक
Saturation value,संतृप्ति मान
Saturation vapour pressure,संतृप्ति वाष्प दाब
Saturation voltage,संतृप्ति वोल्टता
Saturn,शनि
Saturn's ring,शनि-वलय
Sauter method,सॉटर विधि
Savart (unit),सवार्ट
Savart plate,सावार पट्टिका
Savart polariscope,"सावार पोलेरिस्कोप, सावार ध्रुवणदर्शी"
SAW (=surface acoustic wave),पृष्ठीय ध्वनि-तरंग
Saw timing wave,आरादंती कालमापी तरंग
Saw tooth voltage,आरादंती वोल्टता
Saw tooth wave,आरादंती तरंग
Saw tooth wave form,आरादंती तरंग आकृति
Saw tooth wave generator,आरादंती तरंग जनित्र
Sawtooth current,आरादंती धारा
Sawtooth generator,आरादंती जनित्र
Sawtooth pulse,आरादंती स्पंद
Saxophone,सैक्सोफोन
Sayers' swquaring method,सैयर वर्ग विधि
Scala tympani,कर्मावर्त की अधःकुल्या मध्यकर्ण सोपान
Scala vestibuli,कर्णावर्त की ऊर्ध्वकुल्या
Scalar,"अदिश, स्केलर"
Scalar angular velocity,अदिश कोणीय वेग
Scalar density,अदिश घनत्व
Scalar field,अदिश क्षेत्र
Scalar force,अदिश बल
Scalar kinetic energy,अदिश गतिक ऊर्जा
Scalar meson,अदिश मेसॉन
Scalar multiple,अदिश गुणज
Scalar multiplication,अदिश गुणन
Scalar multiplier,अदिश गुणक
Scalar operator,अदिश संकारक
Scalar popint function,अदिश बिंदु फलन
Scalar potential,अदिश विभव
Scalar pressure,अदिश दाब
Scalar product,अदिश गुणनफल
Scalar property,अदिश गुण
Scalar quantity,अदिश राशि
Scalar triple product,अदिश त्रिक गुणनफल
Scale,"मापनी, स्केल, पैमाना, मापक्रम, शल्क, स्वरग्राम, पलड़ा"
Scale effect,स्केल प्रभाव
Scale error,मापनी अशुद्धि
Scale factor,स्केल गुणक
Scale model,अनुमापी मॉडल
Scale of 8,8 का सोपान
Scale of earth quake intensity,भूकम्प तीव्रता स्केल
Scale of notation,संकेतन मापक्रम
Scale of smallness,लघुता का मापक्रम
Scale of two,द्वि-आधारी माप
Scaled event,सोपानी घटना
Scaled pulse,सोपानित स्पन्द
Scaler,सोपानी गणित्र
Scaler recorder,सोपानी अभिलेखित्र
Scaling,"शल्कन, सोपानी गणन, सोपानन"
Scaling circuit,सोपानी परिपथ
Scaling factor,सोपानी गुणक
Scaling law,सोपान नियम
Scaling law,सोपान नियम
Scaling ration,सोपानी अनुपात
Scaling unit,"क्रम गणक एकक, सोपान एकक"
Scan,क्रमवीक्षण
Scan converter,क्रमवीक्षण परिवर्तक
Scan fraction,क्रमवीक्षण भिन्न
Scan photometer,"क्रमवीक्षण फ़ोटोमीटर, क्रमवीक्षण प्रकाशमापी"
Scan radar,क्रमवीक्षण रेडार
Scanner,क्रमवीक्षक
Scanninbg hole,क्रमवीक्षण छिद्र
Scanning,क्रमवीक्षण
Scanning antenna mount,क्रमवीक्षक ऐन्टेना धारक
Scanning electron microscope (=SEM),"क्रमवीक्षण इलेक्ट्रॉन माइक्रोस्कोप, क्रमवीक्षण इलेक्ट्रॉन सूक्ष्मदर्शी"
Scanning head,क्रमवीक्षक शीर्ष
Scanning line,क्रमवीक्षण रेखा
Scanning linearity,क्रमवीक्षण रैखिकता
Scanning microscope,क्रमवीक्षण सूक्ष्मदर्शी
Scanning of lattice points,जालक बिन्दुओं का क्रमवीक्षण
Scanning sequence interlacing,क्रमवीक्षण अनुक्रम अंतर्ग्रथन
Scanning speed,क्रमवीक्षण चाल
Scanning spot,क्रमवीक्षण बिन्दु
Scanning stage,क्रमवीक्षण पद
Scanning technique,क्रमवीक्षण तकनीक
Scanning transmission electron microscope (=STEM),क्रमवीक्षण पारगमन इलेक्ट्रॉन सूक्ष्मदर्शी
Scanning voltage,क्रमवीक्षण वोल्टता
Scaramble,"अस्फुटक, स्क्रैम्बिल"
Scarlet red,सिंदूरी लाल
Scatter,"प्रकीर्ण, प्रकीर्णन"
Scatter -diagram device,प्रकीर्ण आरेख युक्ति
Scatter coefficient,प्रकीर्णन गुणांक
Scatter propagation,प्रकीर्णी संचण
Scatter sounding,प्रकीर्णी परिज्ञापन
Scattered diagram,प्रकीर्ण आरेख
Scattered echo,प्रकीर्ण प्रतिध्वनि
Scattered light,प्रकीर्ण प्रकाश
Scattered radiation,प्रकीर्ण विकिरण
Scattererd,प्रकीर्ण
Scattering,प्रकीर्णन
Scattering amplitude,प्रकीर्णन दैर्ध्य
Scattering coefficient,प्रकीर्णनांक
Scattering cross section,प्रकीर्णन परिक्षेत्र
Scattering force,प्रकीर्ण बल
Scattering layer,प्रकीर्णन स्तर
Scattering length,"प्रकीर्णन दैर्ध्य, प्रकीर्णन लंबाई"
Scattering loss,प्रकीर्णन हारि
Scattering matrix,प्रकीर्णी आव्यूह
Scattering of light,प्रकाश प्रकीर्णन
Scattering point,प्रकीर्ण बिंदु
Scattering potential,प्रकीर्णन विभव
Scattering process,प्रकीर्णी प्रक्रम
Scattering system,प्रकीर्णी निकाय
Scattering theory,प्रकीर्णन सिद्धांत
Scattering yield,प्रकीर्णन उत्पाद
Scatterred wave,प्रकीर्ण तरंग
Scatterrer,प्रकीर्णक
Scavenging stroke (=exhaust strock),रेचन स्ट्रोक
Scenary-property,दृश्य सज्जा
Scene,दृश्य
Scene luminance,दृश्य दीप्ति
Schauder's theorem,शाउडर प्रमेय
Scheduled operation,सुनिश्चित प्रचालन
Scheduling assemblies,चरणावली नियोजन
Scheduling functions,नियोजक फलन
Scheduling inventories,तालिका नियोजन
Scheduling operator,नियोजक संकारक
Schedulling,"अनुसूचन, नियोजन"
Scheibler's tonometer,शाइबलेर का टोनोमीटर
Scheibold method,शीबोल्ड विधि
Scheibold Sauter method,शीबोल्ड सॉटर विधि
Schematic plot,व्यवस्था आलेख
Schematic presentation,विधिवत प्रस्तुति
Schematic representation,व्यवस्थात्मक निरूपण
Schematically,व्यवस्थात्मकतः
Scheme,"स्कीम, अधियोजना, योजना"
Scheme of hidden periodicity,गुप्त आवर्तिता-योजना
Schemochrome,स्कीमोक्रोम
Schiller,शिलर
Schlicren method,श्लीरेन पद्धति
Schlieren,"श्लीरेन, सूत्रिल अंतर्वेश"
Schlieren optics,"श्लीरेन प्रकाशिकी, श्लीरेन प्रकाशविज्ञान"
Schmidt law,श्मिट सीमा
Schmidt limt,श्मिट रेखा
Schmidt trigger circuit,श्मिट ट्रिगर परिपथ
Schmidt's diffusion apparatus,श्मिट विसार उपकरण
Schmitt limiter,श्मिट सीमक
Schmoo plotting,सीमांत आलेखन
Schoenfliles symbol,शोयेनफ्लीज़ प्रतीक
Schottky banomaly,शॉट्की असंगति
Schottky barrier diode,शाटकी प्राचीर डायोड
Schottky defect,"शॉटकी, दोष, शॉटकी त्रुटी"
Schottky disorder,शॉटकी दुर्व्यवस्था
Schottky effect,शॉट्की प्रभाव
Schottky line,शॉट्की रेखा
Schottky noise (=shot noise),शाट रव
Schreier theorem,श्रायर प्रमेय
Schrodinger equation,श्रोडिन्गर समीकरण
Schrodinger wave equation,श्रोडिन्गर तरंग समीकरण
Schrodinger's differential equation,श्रोडिन्गर अवकल समीकरण
Schroeder-Bernstein theorem,श्रोडर-बर्नस्टाइन प्रमेय
Schuler pendulum (=earth pendulum),"शूलर लोलक, भूत्रिज़्या लोलक"
Schulze-Hardey rule,शुल्त्से हार्डी नियम
Schumann region,शूमान-क्षेत्र
Schumann ultraviolet,"शूमान पराबैंगनी, शूमान पराजाम्ब"
Schumann-Runge band,"शूमान रूंगे पट्टी, शूमान रूंगे बैंड"
Schur's lemma,शूर प्रमेयिका
Schuster method,शूस्टर विधि
Schwarz function,श्वार्ज फलन
Schwarz-Christoffel transformation,श्वार्ज क्रिस्टोफेल रूपांतरण
Schwarzschild radius,श्वार्जचाइल्ड त्रिज्या
Schwarzschild solution,श्वार्जचाइल्ड हल
Science,विज्ञान
Scientific instrument,वैज्ञानिक यंत्र
Scientific notation,वैज्ञानिक संकेत
Scientific programming,वैज्ञानिक क्रमादेशन
Scintillation,"प्रस्फुरण, प्रस्फुर"
Scintillation alpha counter,प्रस्फुरण ऐल्फा गणित्र
Scintillation beta counter,प्रस्फुरण बीटा गणित्र
Scintillation counter,प्रस्फुरण गणित्र
Scintillation crystal,प्रस्फुरण क्रिस्टल
Scintillation method,"प्रस्फुरण विधि, प्रस्फुरण पद्धति"
Scintillation of stars,नक्षत्र उन्मिलन
Scintillation spectometer,"प्रस्फुर स्पेक्ट्रममापी, प्रस्फुर स्पेक्ट्रोमीटर"
Scintillator,"प्रस्फुरक, प्रस्फुरित्र"
Scophony system,स्कोफोनी तंत्र
Scopodromic,अभिलक्ष्यिक
Scotoscope,स्कोटोदर्शी
Scour,"अभिमार्जन, निघर्षण"
Scram,स्क्रैम
Scram rod,स्क्रैम दण्ड
Scrambled speech,अस्फुटित वाक
Scrambler,अस्फुटक
Scrambling circuit,अस्फुटक परिपथ
Scratch,"खरखर (ध्वनि), खरोंच"
Scratch filter,खर-खर फ़िल्टर
Screaming combustion,उत्क्रोश दहन
Screeching combustion,चीत्कार दहन
Screen,"छन्नी, चालनी (सं, ), चालना, छानना (क्रि, ), आवरण, परदा, स्क्रीन"
Screen burning,परदा दहन
Screen current,आवरण धारा
Screen factor,आवरणांक
Screen grid,आवरक ग्रिड
Screen grid modulation,आवरक ग्रिड मॉडुलन
Screen grid tube,आवरक ग्रिड नलिका
Screen grid valve,आवरक ग्रिड वाल्व
Screened antenna,आवृत ऐन्टेना
Screened field,आवृत क्षेत्र
Screening,"विविक्तकर निरीक्षण, आवरण"
Screening constant,आवरणांक
Screening doublet,आवरणी द्विक
Screening effect,"आवरण प्रभाव, स्क्रीन प्रभाव"
Screening factor,आवरणांक
Screw,पेंच
Screw axis,"पेंच अक्ष, स्क्रू अक्ष"
Screw curvature,पेंच-वक्रता
Screw dia axis,पेंच द्विक अक्ष
Screw dislocation,"स्क्रू प्रभ्रंश, पेंच प्रभ्रंश"
Screw feeder,पेंच संभरक
Screw gauge,स्क्रू गेज़
Screw jack,स्क्रू जैक
Scrreen angle,आवरण कोण
Scrub,रद्द उड़ान परीक्षण
Sea level,समुद्र तल
Sea-level magnetometer,समुद्रतल चुंबकत्वमापी
Seal,"बंद करना, मोहर लगाना, मुंह बंद करना (क्रि, )  सील, समुद्री सील (सं, )"
Sealed relay,मुद्रित रिले
Seamless tube,सीवनहीन नली
Search,खोज
Search antenna,अन्वेषक ऐन्टेना
Search coil,अन्वेषी कुंडली
Search light,सर्चलाइट
Search light technique,सर्चलाइट तकनीक
Search problem,खोज समस्या
Search radar,"अन्वेषी रेडार, खोजी रेडार"
Search receiver,खोज संकेत अभिग्राही
Search situation,खोज स्थिति
Search technique,खोज प्रविधि
Search time,खोज काल
Searching gate,अन्वेषण द्वार (स्पंद)
Searchlighting,"सर्चलाइटन, खोज प्रदीपन"
Seasonal fluctuation,"ऋतुनिष्ठ उच्चावचन, मौसमी उतार-चढाव"
Secant law,सीकेन्ट नियम
Seclar movement,चिरंतन गति
Second,"सेकंड (सं.), द्वितीय (वि.)"
Second approximation,द्वितीय सन्निकटन
Second breakdown,द्वितीय भंग
Second channel attenuation (=adjacent channel attenuation),संलग्न चैलन क्षीणन
Second channel interference,द्वितीय चैनल व्यतिकरण
Second curvature,द्वितीय वक्रता
Second curve,द्वितीय वक्र
Second decomposition theorem,आगमन का द्वितीय नियम
Second focal point,द्वितीय फ़ोकस बिंदु
Second generation neutron,द्वितीय पीढ़ी का न्यूट्रॉन
Second harmonic band,द्वितीय सन्नादी बैंड
Second importance,द्वितीय श्रेणी महत्व
Second law of thermodynamics,द्वितीय ऊष्मागतिकी नियम
Second level address,"परोक्ष पता, गौण पता"
Second line,द्वितीय कोटि की रेखा
Second neighbour distance,द्वितीयस्थ प्रतिवेश दूरी
Second order,द्वितीय क्रम (द्वितीय प्रकार का)
Second order action,द्वितीय कोटि क्रिया
Second order effect,द्वितीय कोटि का प्रभाव
Second order galaxy (=hypergalaxy),महामंदाकिनी
Second order lever,द्वितीय प्रकार का लीवर
Second order phase,द्वितीय कोटि प्रावस्था
Second order reaction,द्वितीय कोटि अभिक्रिया
Second order spectrum,द्वितीय कोटि स्पैक्ट्रम
Second order theory,द्वितीय क्रम सिद्धांत
Second order transition popint,द्वितीय क्रम संक्रमण बिन्दु
Second overtone,द्वितीय अभिस्वरक
Second polar body,"द्वितीक ध्रुव पंड, द्वितीय पोलर कोशिका"
Second quantization,द्वितीय क्वान्टीकरण
Second radiation constant,द्वितीय विकिरण स्थिरांक
Second sound,अपर ध्वनि
Second system of pulleys,द्वितीय घिरनी निकाय
Second trace echoes,द्वितीय अनुरेख प्रतिध्वनि
Second-order phase transition,द्वितीय कोटि प्रावस्था संक्रमण
Second-order terms,द्वितीय क्रम पद
Second-order transition,द्वितीय क्रम संक्रमण
Secondary,"द्वितीय , गौण"
Secondary axis,गौण अक्ष
Secondary beta ray,द्वितीयक बीटा किरण
Secondary cell,संचायक सेल
Secondary circuit,द्वितीयक परिपथ
Secondary data,गौण उपात्त
Secondary displacement,द्वितीयक विस्थापन
Secondary eddy,द्वितीयक भंवर
Secondary electrode,द्वितीयक इलेक्ट्रोड
Secondary electron,द्वितीयक इलेक्ट्रान
Secondary electron gap loading,द्वितीयक इलेक्ट्रान अंतराल लोडन
Secondary emission,द्वितीयक उत्सर्जन
Secondary emission noise,द्वितीयक उत्सर्जन रव
Secondary excitation,द्वितीयक उत्तेजन
Secondary extinction,द्वितीयक विलोप
Secondary flow,गौण प्रवाह
Secondary focal length,द्वितीयक फ़ोकस दूरी
Secondary impedance,द्वितीयक प्रतिबाधा
Secondary inductance,द्वितीयक प्रेरकत्व
Secondary ionization,द्वितीयक आयनन
Secondary lobe (=minor lobe),गौण पालि
Secondary maximum,गौण महत्तम
Secondary optic axis,गौण प्रकाशिक अक्ष
Secondary phase wavelet,द्वितीयक कला तरंगिका
Secondary positron,द्वितीयक पॉज़िट्रान
Secondary radar,गौण रेडार
Secondary radiation,द्वितीयक विकिरण
Secondary rainbow,द्वितीय इंद्रधनुष
Secondary rays,द्वितीयक किरणें
Secondary reaction,गौण अभिक्रिया
Secondary recombination,द्वितीयक पुनःसंयोजन
Secondary recrystallization,द्वितीयक पुनः क्रिस्टलन
Secondary response,द्वितीयक अनुक्रिया
Secondary spectrum,द्वितीयक स्पेक्ट्रम
Secondary standard,द्वितीयक मान
Secondary wave,द्वितीयक तरंग
Secondary winding,द्वितीय कुंडलन
Secondary X-ray,द्वितीयक एक्स-किरणें
Seconds pendulum,सैकेन्डी लोलक
Secor,सैकार
Section,"अनुभाग, खण्ड, परिच्छेद, काट, सेक्शन"
Sectional curvature,परिच्छेद वक्रता
Sectional line of level,परिच्छेदी तल-रेखा
Sectionalized veretical aerial (=sectionalized vertical antenna),विभागीकृत ऊर्ध्वाधर ऐन्टेना
Sector,"अवखंड, त्रिज्यखंड, सेक्टर"
Sector display,सेक्टर प्रदर्श
Sector growth,सेक्टर वृद्धि
Sector scanning,त्रिज्य क्रमवीक्षण
Sector spectometer,त्रिज्यखंडीय स्पेक्ट्रोमीटर
